ASSESSMENT_YEAR,COUNTY_NUMBER,PARCEL_NUMBER,DWELLING_NUMBER,OCCUPANCY_CODE,STORY_CONFIGURATION_CODE,STORY_HEIGHT,PREDOMINANT_ROOFING_MATERIAL,HEATING_SYSTEM_CODE,CENTRAL_AIR_CONDITIONING,NUMBER_OF_FINISHED_ROOMS,ATTIC_CODE,ATTIC_BASE_AREA,ATTIC_FINISHED_LIVING_AREA,BASEMENT_CODE,BASEMENT_BASE_AREA,BASEMENT_FINISHED_LIVING_AREA,CRAWL_SPACE_CODE,CRAWL_SPACE_BASE_AREA,FLOORS_TOTAL_BASE_AREA,FLOORS_TOTAL_FINISHED_LIV_AREA,TOTAL_BASE_VALUE,ROW_TYPE_ADJUSTMENT,UNFINISHED_INTERIOR_VALUE_ADJ,EXTRA_LIVING_UNITS_VALUE_ADJ,REC_ROOM_VALUE_ADJ,LOFT_VALUE_ADJ,FIREPLACE_VALUE_ADJ,NO_HEATING_VALUE_ADJ,AIR_CONDITIONING_VALUE_ADJ,NO_ELECTRICAL_VALUE_ADJ,PLUMBING_VALUE_ADJ,GARAGE_VALUE_ADJ,EXTERIOR_FEATURES_VALUE_ADJ,TOTAL_BEDROOMS,NUMBER_OF_FAMILY_ROOMS,NUMBER_OF_DINING_ROOMS,NUMBER_OF_FULL_BATHS,NUMBER_OF_HALF_BATHS,TOTAL_PLUMBING_FIXTURES,MASONRY_FIREPLACE_STACKS,MASONRY_FIREPLACE_OPENINGS,STEEL_FIREPLACE_STACKS,STEEL_FIREPLACE_OPENINGS,INTEGRAL_GARAGE,ATTACHED_GARAGE,ATTACHED_CARPORT,BASEMENT_GARAGE,GARAGE_CAPACITY_CARS,GARAGE_SQFT,IMPROVEMENT_INSTANCE_NUMBER,DWELLING_INSTANCE_NUMBER
2022,89,890121000311001010,,1,1,2.0,1,1,Y,8,0,0,0,0,0,0,4,1080,1836,1836,129100,0,0,0,0,0,4700,0,4400,0,5600.0,14300.0,4900,3,1,1,2,1,12,0,0,1,1,N,Y,N,N,2,462,1,1
2022,89,890121000312000010,,1,1,1.0,4,1,N,5,0,0,0,1,276,0,2,828,1965,1965,145200,0,0,0,0,0,0,0,0,0,800.0,,19900,2,0,0,1,0,6,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890121000314000010,,1,1,2.0,1,1,Y,7,1,1200,0,4,1200,0,0,0,2400,2400,171200,0,0,0,0,0,9000,0,5000,0,5600.0,,16000,3,0,1,3,0,12,2,2,0,0,N,N,N,N,0,0,1,1
2022,89,890121000416000010,,1,1,1.0,3,4,N,6,4,780,780,2,390,0,2,390,780,780,102300,0,0,0,0,0,0,-4000,0,0,,,8200,3,0,0,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890122000101000010,,1,1,1.0,1,1,Y,6,0,0,0,3,840,0,1,144,1824,1824,134900,0,0,0,0,0,0,0,3700,0,,,5800,3,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890122000202001010,,1,1,1.0,4,1,N,4,0,0,0,1,257,0,3,770,1027,1027,102000,0,0,0,0,0,0,0,0,0,,,9000,2,0,0,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890122000203000010,,1,1,1.0,3,1,N,9,0,0,0,2,602,0,2,672,1946,1946,143900,0,0,0,0,0,0,0,0,0,,,17100,5,1,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890122000204000010,,1,1,1.0,1,4,N,7,0,0,0,0,0,0,3,960,1425,1425,104600,0,0,0,0,0,0,-6300,0,0,,,500,3,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890122000306001010,,1,1,1.0,1,1,N,9,1,704,0,1,176,0,3,931,1107,1107,110200,0,0,0,0,0,0,0,0,0,,6700.0,11700,4,1,1,1,0,5,0,0,0,0,N,N,Y,N,2,465,1,1
2022,89,890122000407001010,,1,1,1.0,1,4,Y,8,0,0,0,1,442,0,2,588,1832,1832,139600,0,0,0,0,0,0,0,3900,0,2400.0,7000.0,13100,3,1,1,2,0,8,0,0,0,0,N,N,Y,N,3,660,1,1
2022,89,890122000408000010,,1,1,1.0,1,1,N,7,0,0,0,0,0,0,4,1530,1530,1530,120700,0,0,0,0,0,4500,0,0,0,2400.0,16800.0,4400,3,1,1,2,0,8,1,1,0,0,N,Y,N,N,3,552,1,1
2022,89,890122000409001010,,1,1,1.0,2,1,N,5,0,0,0,0,0,0,4,1658,1658,1658,127400,0,0,0,0,0,0,0,0,0,2400.0,19400.0,6200,2,0,0,2,0,8,0,0,0,0,N,Y,N,N,3,575,1,1
2022,89,890122000410000010,,1,1,1.0,1,4,N,5,0,0,0,2,550,0,2,550,1100,1100,109500,0,0,0,5200,0,4500,0,0,0,,,1400,3,0,0,1,0,5,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890123000101000010,,1,1,1.0,1,3,Y,8,0,0,0,4,912,0,0,0,1824,1824,129000,0,0,0,0,0,4500,0,4300,0,2400.0,,20100,4,0,1,2,0,8,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890123000103000010,,1,1,1.0,4,4,Y,6,0,0,0,0,0,0,0,0,1164,1164,88600,0,0,0,0,0,0,0,3200,0,1600.0,,3500,3,1,0,1,1,7,0,0,0,0,N,N,N,N,0,0,645,645
2022,89,890123000104000010,,1,1,1.0,1,4,N,6,0,0,0,0,0,0,4,984,1320,1320,100400,0,0,0,0,0,0,-6100,0,0,,,14800,3,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890123000104001010,,1,1,1.0,1,1,Y,5,0,0,0,0,0,0,4,1728,1728,1728,120200,0,0,0,0,0,0,0,4000,0,1600.0,,10900,3,0,0,1,1,7,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890123000105000010,,1,1,1.0,4,1,N,7,0,0,0,2,1274,0,2,1274,2548,2548,204000,0,0,0,0,0,8000,0,0,0,4000.0,19400.0,16300,3,0,1,2,1,10,1,2,0,0,N,Y,N,N,3,576,1,1
2022,89,890123000106000010,,1,1,1.0,1,1,N,5,1,800,0,4,2336,0,0,0,2336,2336,192600,0,0,0,0,0,4500,0,0,0,,,19400,2,0,0,1,0,5,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890123000208000010,,1,1,1.0,1,1,Y,6,0,0,0,4,1146,0,0,0,1146,1146,124000,0,0,0,0,0,0,0,3100,0,2400.0,13600.0,3900,3,0,1,2,0,8,0,0,0,0,N,Y,N,N,2,375,1,1
2022,89,890123000209000010,,1,1,1.0,1,1,N,6,0,0,0,2,660,0,2,580,1768,1768,139200,0,0,0,0,0,0,0,0,0,1600.0,,11700,3,0,0,1,1,7,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890123000311000010,,1,1,1.0,3,4,N,5,0,0,0,0,0,0,0,0,504,504,49900,0,0,0,0,0,0,-1300,0,-3800,-6600.0,,0,3,0,0,0,0,0,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890123000314000010,,1,1,1.0,4,4,Y,5,0,0,0,0,0,0,4,1092,1092,1092,91200,0,0,0,0,0,0,0,3100,0,,,800,3,0,0,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890123000314000010,,1,1,1.0,4,4,N,5,0,0,0,0,0,0,0,0,1152,1152,96100,0,0,0,0,0,0,0,0,0,-3200.0,,0,2,0,0,0,0,1,0,0,0,0,N,N,N,N,0,0,5,5
2022,89,890123000315000010,,1,1,1.0,1,1,N,8,0,0,0,0,0,0,3,1092,1400,1400,104000,0,0,0,0,0,0,0,0,0,,,32100,4,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890123000418000010,,1,1,2.0,2,1,Y,8,0,0,0,2,776,0,2,1056,3416,3416,202700,0,0,0,0,0,9000,0,6700,0,,23800.0,46400,2,1,1,1,0,5,2,2,0,0,N,Y,N,N,4,864,1,1
2022,89,890123000419001010,,1,1,1.0,4,4,Y,5,4,910,520,0,0,0,4,910,910,910,92600,0,0,0,0,0,4500,0,3800,0,,,12200,2,0,1,1,0,5,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890123000421000010,,1,1,2.0,4,1,N,8,1,544,0,0,0,0,4,1564,2164,2164,147800,0,0,0,0,0,0,0,0,0,,20700.0,20900,5,0,1,1,0,5,0,0,0,0,N,Y,N,N,4,720,1,1
2022,89,890123000422000010,,1,1,2.0,1,1,Y,7,1,480,0,4,1880,1431,0,0,3280,3280,256900,0,0,0,0,0,4700,0,6400,0,10400.0,20700.0,11500,5,0,1,3,1,18,0,0,1,1,N,Y,N,N,4,720,1,1
2022,89,890123000424000010,,1,1,1.0,1,1,Y,4,0,0,0,3,960,720,0,0,1216,1216,139700,0,0,0,0,17000,0,0,3700,0,,,9000,1,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890124000105000010,,1,1,1.0,1,1,N,6,0,0,0,0,0,0,4,1260,1260,1260,108000,0,0,0,0,0,0,0,0,0,2400.0,16800.0,8400,3,1,0,2,0,8,0,0,0,0,N,Y,N,N,3,525,1,1
2022,89,890124000207001010,,1,1,2.0,3,3,Y,8,1,810,0,1,162,0,4,1296,2106,2106,157800,0,0,0,0,0,9000,0,4600,0,,,15500,4,0,1,1,0,5,2,2,0,0,N,N,N,N,0,0,1,1
2022,89,890124000207003010,,1,1,1.0,4,4,N,5,0,0,0,4,1640,0,0,0,1640,1640,145100,0,0,0,0,0,0,-6600,0,-9000,,,7000,2,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,5,5
2022,89,890124000309001010,,1,1,1.0,4,8,N,9,0,0,0,2,860,0,2,797,2517,2517,170800,0,0,0,0,0,4500,0,0,0,2400.0,15200.0,10400,4,1,1,2,0,8,1,1,0,0,N,Y,N,N,2,484,1,1
2022,89,890124000309002010,,1,1,2.0,1,1,Y,7,1,948,0,0,0,0,3,1883,3350,3350,197500,0,0,0,0,0,4700,0,6500,0,6400.0,26300.0,10500,3,1,1,2,1,13,0,0,1,1,N,Y,N,N,5,948,1,1
2022,89,890124000309003010,,1,1,1.0,1,4,Y,7,0,0,0,4,2743,0,0,0,2743,2743,231500,0,0,0,0,0,0,0,5900,0,5600.0,25300.0,3700,4,0,1,2,1,12,0,0,0,0,N,Y,N,N,4,864,1,1
2022,89,890124000413000010,,1,1,1.0,4,8,N,4,1,1230,0,3,922,0,1,308,1230,1230,126900,0,0,0,0,0,0,-6800,0,0,,19600.0,3200,2,0,0,1,0,5,0,0,0,0,N,Y,N,N,3,672,1,1
2022,89,890124000414001010,,1,1,2.0,3,1,Y,6,0,0,0,1,338,0,3,1012,2475,2475,161000,0,0,0,0,0,0,0,5300,0,,15200.0,11900,4,0,0,1,0,5,0,0,0,0,N,Y,N,N,3,506,1,1
2022,89,890124000415000010,,1,1,1.0,1,4,Y,8,0,0,0,2,552,0,2,552,2160,2160,143200,0,0,0,0,0,0,0,4100,0,,11500.0,16000,3,0,1,1,0,5,0,0,0,0,N,Y,N,N,2,308,1,1
2022,89,890125000206000010,,1,1,1.0,1,1,N,5,0,0,0,4,1425,0,0,0,1425,1425,132100,0,0,0,5200,0,4500,0,0,0,1600.0,14700.0,3900,3,0,0,1,1,7,1,1,0,0,N,Y,N,N,2,460,1,1
2022,89,890125000208000010,,1,1,1.0,1,4,Y,6,0,0,0,0,0,0,4,1646,1646,1646,127400,0,0,0,0,0,4500,0,3800,0,2400.0,15700.0,20700,3,0,0,2,0,8,1,1,0,0,N,Y,N,N,2,500,1,1
2022,89,890125000310001010,,1,1,1.0,1,1,Y,5,0,0,0,0,0,0,3,1540,1829,1829,124800,0,0,0,0,0,0,0,4100,0,2400.0,,11200,3,0,0,2,0,8,0,0,0,0,N,N,N,N,0,0,3,3
2022,89,890125000313000010,,1,1,1.0,1,1,N,9,0,0,0,4,1408,0,0,0,1408,1408,130700,0,0,0,7800,0,4500,0,0,0,2400.0,,1800,3,0,1,2,0,8,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890125000316000010,,1,1,1.0,1,1,N,8,0,0,0,2,684,0,2,720,1980,1980,150600,0,0,0,0,0,8000,0,0,0,,,43300,4,0,1,1,0,5,1,2,0,0,N,N,N,N,0,0,1,1
2022,89,890125000417000010,,1,1,2.0,2,1,Y,5,0,0,0,2,432,0,2,348,1212,1212,111900,0,0,0,0,0,4500,0,4600,0,,,10600,2,0,0,1,0,5,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890125000417001010,,1,1,2.0,1,6,N,10,0,0,0,4,1686,0,0,0,2768,2768,188400,0,0,0,0,0,0,-8500,0,0,4000.0,21700.0,18300,4,1,1,2,0,10,0,0,0,0,N,Y,N,N,4,736,1,1
2022,89,890125000418000010,,1,1,1.0,1,1,N,6,1,1088,0,4,1088,0,0,0,1088,1088,120000,0,0,0,5200,0,0,0,0,0,,,5800,3,0,0,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890126000103000010,,1,1,1.0,1,1,Y,8,0,0,0,0,0,0,0,0,3264,3264,200200,0,0,0,0,0,0,0,7700,0,2400.0,,28600,4,0,1,2,0,8,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890126000104000010,,1,1,2.0,1,1,Y,5,0,0,0,4,660,0,0,0,880,880,98300,0,0,0,3900,0,4500,0,4000,0,,,15600,3,0,0,1,0,5,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890126000105000010,,1,1,1.0,1,1,N,5,0,0,0,0,0,0,4,1040,1040,1040,88800,0,0,0,0,0,0,0,0,0,,,7600,3,0,0,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890126000106000010,,1,1,1.0,1,1,Y,8,0,0,0,0,0,0,4,1620,1620,1620,125900,0,0,0,0,0,4500,0,3800,0,1600.0,16800.0,10200,4,0,1,1,1,7,1,1,0,0,N,Y,N,N,3,540,1,1
2022,89,890126000107000010,,1,1,1.0,1,1,Y,7,0,0,0,0,0,0,4,1584,1584,1584,123200,0,0,0,0,0,4500,0,3800,0,1600.0,20500.0,6200,3,1,1,1,1,7,1,1,0,0,N,Y,N,N,3,667,1,1
2022,89,890126000209000010,,1,1,1.0,4,1,Y,5,0,0,0,0,0,0,4,1540,1540,1540,111200,0,0,0,0,0,0,0,3600,0,2400.0,,2500,3,0,0,2,0,8,0,0,0,0,N,N,N,N,0,0,4,4
2022,89,890126000210000010,,1,1,2.0,1,3,Y,11,0,0,0,3,1876,1484,1,610,4188,4188,296600,0,0,0,0,0,0,0,8100,0,8000.0,41400.0,35600,4,1,1,3,1,15,0,0,0,0,N,Y,N,N,7,1440,1,1
2022,89,890126000213001010,,1,1,2.0,1,1,N,8,1,546,0,2,546,0,2,866,2278,2278,164800,0,0,0,0,0,0,0,0,0,2400.0,,28000,3,0,1,2,0,8,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890126000214000010,,1,1,1.0,1,4,N,4,0,0,0,0,0,0,4,1064,1064,1064,98300,0,0,0,0,0,4500,0,0,0,,,4900,2,0,0,1,0,5,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890126000317000010,,1,1,1.0,1,4,Y,6,0,0,0,0,0,0,4,1664,1902,1902,131300,0,0,0,0,0,0,0,4200,0,,15200.0,7600,3,0,1,1,0,5,0,0,0,0,N,Y,N,N,2,480,1,1
2022,89,890126000318000010,,1,1,1.0,1,1,N,5,0,0,0,1,144,0,3,816,1302,1302,113700,0,0,0,0,0,4500,0,0,0,,,6000,2,0,1,1,0,5,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890126000319000010,,1,1,1.0,1,4,Y,6,0,0,0,4,1416,0,0,0,1416,1416,132100,0,0,0,0,0,0,0,3500,0,1600.0,3700.0,17700,2,0,1,1,1,7,0,0,0,0,N,N,N,Y,2,450,1,1
2022,89,890126000422000010,,1,1,2.0,1,1,N,11,0,0,0,4,1614,0,0,0,2887,2887,190600,0,0,0,0,0,0,0,0,0,,,23000,4,1,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890126000423000010,,1,1,1.0,4,4,N,8,0,0,0,2,492,0,2,648,1788,1788,135400,0,0,0,0,0,0,0,0,0,,,7900,5,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890126000424000010,,1,1,2.0,1,4,Y,7,0,0,0,2,1176,0,1,352,4828,4828,271900,0,0,0,0,0,4500,0,8500,0,1600.0,21700.0,4400,3,1,1,1,1,7,1,1,0,0,N,Y,N,N,4,720,2,2
2022,89,890126000425000010,,1,1,2.0,1,4,N,8,0,0,0,2,710,0,2,542,2335,2335,160500,0,0,0,0,0,0,0,0,0,,9900.0,19900,4,1,1,1,0,5,0,0,0,0,N,Y,N,N,1,235,1,1
2022,89,890127000102001010,,1,1,2.0,2,1,N,8,0,0,0,3,832,0,1,120,1784,1784,139600,0,0,0,0,0,0,0,0,0,800.0,,30800,4,0,1,1,0,6,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890127000203001010,,1,1,1.0,1,1,Y,5,0,0,0,4,1680,0,0,0,1680,1680,146800,0,0,0,0,0,4700,0,4000,0,4000.0,32800.0,10200,3,0,0,2,1,10,0,0,1,1,N,Y,N,N,6,1248,1,1
2022,89,890127000204000010,,1,1,1.0,4,8,Y,5,0,0,0,4,2220,0,0,0,2220,2220,193700,0,0,0,0,0,0,0,4700,0,3200.0,,17500,2,0,1,2,0,9,0,0,0,0,N,N,N,N,0,0,7,7
2022,89,890127000205001010,,1,1,1.0,4,1,Y,6,0,0,0,0,0,0,4,1160,1160,1160,93700,0,0,0,0,0,0,0,3200,0,,,3100,3,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890127000306001010,,1,1,1.0,1,1,Y,5,0,0,0,0,0,0,4,1846,1846,1846,126700,0,0,0,0,0,4700,0,4100,0,1600.0,18600.0,4900,3,0,0,1,1,7,0,0,1,1,N,Y,N,N,3,576,1,1
2022,89,890127000307000010,,1,1,2.0,4,1,N,7,1,660,0,1,315,0,3,945,1860,1860,149400,0,0,0,0,0,0,0,0,0,,,27900,4,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890127000409000010,,1,1,1.0,1,1,Y,8,0,0,0,1,240,0,3,948,2148,2148,141000,0,0,0,0,0,4700,0,4100,0,,,13400,4,0,1,1,0,5,0,0,1,1,N,N,N,N,0,0,1,1
2022,89,890127000411000010,,1,1,1.0,1,8,Y,6,0,0,0,4,2094,1594,0,0,2094,2094,215800,0,0,0,0,0,4700,-7500,4600,0,5600.0,16200.0,19200,3,0,1,2,1,12,0,0,1,1,N,Y,N,N,3,537,3,3
2022,89,890127000414001010,,1,1,1.0,1,4,N,5,0,0,0,1,231,0,3,693,1452,1452,116700,0,0,0,0,0,0,0,0,0,,,6400,2,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890127000414001010,,1,1,1.0,4,4,N,5,0,0,0,0,0,0,0,0,999,999,80500,0,0,0,0,0,0,0,0,0,,13600.0,0,2,0,0,1,0,5,0,0,0,0,N,Y,N,N,2,405,668,668
2022,89,890127000415000010,,1,1,1.0,1,4,N,8,0,0,0,0,0,0,4,1824,1824,1824,125500,0,0,0,0,0,4700,0,0,0,,,3800,5,0,1,1,0,5,0,0,1,1,N,N,N,N,0,0,1,1
2022,89,890127130101000010,,1,1,1.0,1,1,Y,6,0,0,0,2,669,0,2,795,1464,1464,127900,0,0,0,0,0,0,0,3600,0,2400.0,,18900,3,1,0,2,0,8,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890127130105000010,,1,1,1.0,3,1,Y,4,0,0,0,2,540,0,2,720,1260,1260,117000,0,0,0,0,0,0,0,3300,0,2400.0,,10800,2,0,0,2,0,8,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890127130106000010,,1,1,1.0,1,4,Y,5,0,0,0,4,784,0,0,0,784,784,89700,0,0,0,0,0,0,0,3900,0,,,13300,2,0,0,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890127310101000010,,1,1,1.0,1,1,Y,6,0,0,0,1,280,0,3,840,1120,1120,107000,0,0,0,0,0,0,0,3100,0,,,16900,2,0,1,1,0,5,0,0,0,0,N,N,N,N,0,0,1,1
2022,89,890127310102000010,,1,1,1.0,2,1,N,6,0,0,0,2,728,0,2,780,2236,2236,155700,0,0,0,0,0,4700,0,0,0,,,16500,3,0,1,1,0,5,0,0,1,1,N,N,N,N,0,0,1,1
2022,89,890128000101001010,,1,1,2.0,4,1,N,7,0,0,0,1,222,0,2,664,2022,2022,148400,0,0,0,0,0,4500,0,0,0,,,12300,4,0,1,1,0,5,1,1,0,0,N,N,N,N,0,0,1,1
2022,89,890128000102000010,,1,1,1.0,1,1,N,7,1,600,0,2,879,0,0,0,3516,3516,187400,0,0,0,0,0,0,0,0,0,2400.0,18600.0,16700,3,0,1,2,0,8,0,0,0,0,N,Y,N,N,3,600,1,1
2022,89,890128000102001010,,1,1,2.0,1,1,Y,7,0,0,0,0,0,0,2,558,2046,2046,147100,0,0,0,0,0,4700,0,4400,0,4000.0,19400.0,600,4,0,1,2,1,10,0,0,1,1,N,Y,N,N,3,621,1,1
2022,89,890128000103000010,,1,1,1.0,1,1,Y,6,0,0,0,4,1314,986,0,0,1314,1314,159300,0,0,0,0,0,8000,0,3300,0,2400.0,6100.0,16300,3,0,1,2,0,8,1,2,0,0,N,N,Y,N,2,406,1,1
2022,89,890128000104000010,,1,1,1.0,1,1,Y,6,0,0,0,3,1232,0,0,0,1554,1554,134300,0,0,0,0,0,0,0,3800,0,,15200.0,5700,3,0,0,1,0,5,0,0,0,0,N,Y,N,N,3,504,1,1
2022,89,890128000105000010,,1,1,1.0,1,8,N,5,4,850,640,4,1420,0,0,0,2840,2840,188000,0,0,0,0,0,4700,-8200,0,0,6400.0,23800.0,9100,3,0,0,2,1,13,0,0,1,1,N,Y,N,N,4,850,1,1
2022,89,890128000105001010,,1,1,1.0,1,1,Y,5,0,0,0,0,0,0,4,1549,1549,1549,120200,0,0,0,0,0,4700,0,3600,0,2400.0,15700.0,9700,3,0,1,2,0,8,0,0,1,1,N,Y,N,N,2,483,1,1
2022,89,890128000105004010,,1,1,2.0,1,1,Y,6,0,0,0,0,0,0,4,1136,2006,2006,132000,0,0,0,0,0,4700,0,4600,0,4800.0,15200.0,21700,3,0,1,2,1,11,0,0,1,1,N,Y,N,N,2,475,1,1
2022,89,890128000105005010,,1,1,1.0,1,1,Y,7,0,0,0,2,1104,0,2,672,1776,1776,160200,0,0,0,0,0,0,0,4100,0,4800.0,19400.0,7300,3,0,1,2,1,11,0,0,0,0,N,Y,N,N,3,624,1,1
2022,89,890128000105006010,,1,1,1.0,4,1,Y,5,0,0,0,0,0,0,4,1482,1482,1482,107900,0,0,0,0,0,0,0,3600,0,2400.0,,4000,3,0,0,2,0,8,0,0,0,0,N,N,N,N,0,0,1,1
